version,name,statement_count,statements_md5
20260829135428,etapa19_index_zuno_stack_game_events_actor,1,1033ae9b78b8942177e57c3bed0edcc3
20260829153447,fix_notification_seen_permission,1,6ccc86f37ec760dab5641ca8c3890505
20260829153552,fix_room_members_rls_recursion,1,7ee3980cb90c18cedc09842789d40f2a
20260829154748,contain_unverified_zuno_stack_rewards,1,522107929a4db020c93344b773c61999
20260829160546,harden_privileged_rpc_authorization,1,66b5cc419c330815a1b0a801c7028b1c
20260829160713,fix_ban_room_member_interval,1,07e233c0ed8fca7fd429be1e12d7658f
20260829161015,harden_reward_and_group_rpcs,1,56c82c9d102483509daf8aaa70fbbbc8
20260829161228,contain_unverified_game_challenge_completion,1,04aab641854c235a9a356904993f022c
20260829162907,harden_zuno_stack_rpc_surface,1,785f2c7092d74e413b8d7afdf590e9f0
20260829162941,limit_one_active_room_per_owner,1,af659df3ee8e01e2269b914cff963e6f
20260829163107,fix_move_room_seat_mic_access_bypass,1,e90c95f4371388f563eb2ec83b7fe363
20260829163153,revoke_public_private_room_helper,1,a821f73a99526d9c38150a5020659a8b
20260829164649,validate_zuno_stack_state_coherence,1,83b8fd554920d42a754a8373783f317a
20260829165506,harden_room_minigame_single_active_session,1,e7ff22bcd630c96c990c11f5987389d9
20260829170306,enforce_zuno_stack_host_authority,1,09981fc7c8b7f681b621d69d4ab80811
20260829170454,enforce_room_admin_hierarchy,1,227425eab1e3727ab2f984cf9e420301
20260829170550,fix_zuno_stack_action_idempotency,1,64eb31e16cacad4fdd28bf85d172c4ae
20260829171228,make_end_voice_room_idempotent,1,40b107f377774f9a896bfa446a3ecf8c
20260829171857,server_authoritative_zuno_stack_tile,1,fdef1737549bb2f678e738dec51ea05b
20260829172019,fix_room_seat_approval_reuse,1,47a62d44e7b0f0146615b1498e3175b7
20260829172412,validate_profile_interests_shape,1,66763873701b1c3424d6534965b4dd91
20260829173258,harden_rooms_voice_access,1,467cca1f0f504b09f6932a9505630f8a
20260829173312,guard_voice_answer_direction,1,06a100162cec7113623e3e4b81ded6db
20260829173319,reject_membership_in_inactive_room,1,ea05b3bacf71db0ddb7441d7b0d14ab4
20260829173535,fix_room_join_trigger_for_invites,1,54edd35d4120947a542195065000d13c
20260829173758,server_authoritative_zuno_stack_relay,1,0b6a83dc58a274f490f8834d670a9ef4
20260829174514,block_legacy_zuno_stack_relay_requests,1,971632d2ed356d0eec506829310563c6
20260829174547,harden_room_member_direct_updates,1,5ef4355870f10a768774470332eea8da
20260829174933,harden_group_membership_event_idempotency,1,3d66c7362f80dff470a95b3061f6a4d8
20260829174941,add_room_invite_fk_indexes,1,dfd82bc9e9000bee927892e019580572
20260829175413,fix_null_role_authorization_bypass,1,3e03df1d75e38bb3dd27309245a70128
20260829175647,fix_create_room_invite_output_ambiguity,1,9fa79e6d3eccb428be34130c09fab4fd
20260829175953,harden_direct_room_ban_state_and_audit,1,ade85e42e2c536dbd1cc2e6788176dc0
20260829181844,lock_zuno_stack_active_engine_writes,1,b525bfb1a5dfdc2ce04d9cc3447cbd56
20260829195001,prevent_duplicate_pending_friend_requests,1,00de4ef5275435d6d5e6b452b3a473a0
20260829200301,atomic_friendship_on_accept,1,331948cf21d41b11e45cde44f9dcef73
20260829201613,fix_global_presence_authorization,1,9020fa8d678fb07504cbb4f9394f1f50
20260829201839,add_friend_presence_registry,1,b74d30d6a38ba6eecb49cddfd08469da
20260829201941,fix_notification_scope_message_social,1,6bb77ce75d260393bd8805b4e601551a
20260829202251,add_secure_unfriend_rpc,1,9a5e3cd6f1a0332221c331f2c2edbb6c
20260829202952,friend_accept_opens_direct_message,1,1e797609f3177012e7ca5e150798368e
20260829203617,add_friendship_realtime_events,1,88fc9e1a44b05b797088ddb65c4d7a87
20260829204340,friend_requests_realtime_flow,1,0840b81aa73cd2c022d9e361bb0eb781
20260829204526,lock_down_friend_request_event_trigger,1,b6a3210a7f97caa13de9378f87b3c38a
20260829205204,fix_friend_request_names_and_targeted_accept_message,1,789f3c20aef602b4c2b329472f41c1f7
20260829210123,fix_pulso_social_notification_routes_and_security,1,449fedfd7863f92206ad0280c2234be9
20260829210143,add_pulso_notification_preference,1,46d72c3383f5ed3011a810952bfaa99e
20260829210642,notification_cleanup_rls,1,903c2055b3bcf44ba795e006748a0e88
20260829210724,complete_user_blocking_flow,1,6fd19cd63371cfcb7226d26324af11de
20260829210822,enforce_block_cleanup_on_insert,1,506a10b4a8fb6f87ee67cb3c4523448e
20260829210827,backfill_friend_request_notification_titles,1,19444252ad8dabea67e4383bb0d8e994
20260829210847,backfill_orphan_friend_request_notification_titles,1,2c4b7b191553446f64af27c4b40fdd0c
20260829210936,fix_pulso_like_notification_record_shape,1,47d56a22285fa9b0b89867cc9c40ffd9
